,M,b,dif,info,spread
0,0,0.0,21.089048678187055,1,0
0,0,0.0,1.4122677604511864,1,0
0,0,0.0,-26.85272558448196,1,0
0,0,0.0,47.52002832639437,1,0
0,0,0.0,-2.913186304942201,1,0
0,0,0.0,36.333007464113734,1,0
0,0,0.0,-32.22641986569761,1,0
0,0,0.0,16.186942393617983,1,0
0,0,0.0,-71.2195790977571,1,0
0,0,0.0,-93.02800507981055,1,0
0,0,0.0,-55.03419868680862,1,0
0,0,0.0,-30.64033998815944,1,0
0,0,0.0,-0.795977623864701,1,0
0,0,0.0,-27.982966621877722,1,0
0,0,0.0,-41.58499185142932,1,0
0,0,0.0,14.355387209121773,1,0
0,0,0.0,27.621203725510213,1,0
0,0,0.0,-39.02812407025522,1,0
0,0,0.0,42.19966283754775,1,0
0,0,0.0,-18.76195395260379,1,0
0,0,0.0,-37.91475854369173,1,0
0,0,0.0,0.1405280096628303,1,0
0,0,0.0,-31.271319458202015,1,0
0,0,0.0,-17.643548017979583,1,0
0,0,0.0,-2.0886012831469998,1,0
0,0,0.0,25.742446708484522,1,0
0,0,0.0,55.06161593132242,1,0
0,0,0.0,56.22907977540058,1,0
0,0,0.0,6.210933635526544,1,0
0,0,0.0,18.995538555066105,1,0
0,0,0.0,28.368704610068335,1,0
0,0,0.0,-61.29363417752347,1,0
0,0,0.0,-61.09249455560848,1,0
0,0,0.0,-51.98219548005363,1,0
0,0,0.0,60.62291621772033,1,0
0,0,0.0,13.036679625075749,1,0
0,0,0.0,-84.04038617258539,1,0
0,0,0.0,-2.5827423322305094,1,0
0,0,0.0,17.043077100732944,1,0
0,0,0.0,21.73906623132848,1,0
0,0,0.0,-17.974459220788276,1,0
0,0,0.0,-15.979448264632765,1,0
0,0,0.0,-27.589120245205777,1,0
0,0,0.0,-10.455742155214693,1,0
0,0,0.0,12.398584547849168,1,0
0,0,0.0,-66.78525452568965,1,0
0,0,0.0,101.78649703986889,1,0
0,0,0.0,3.917615331214847,1,0
0,0,0.0,41.663202650637004,1,0
0,0,0.0,-80.6541723826981,1,0
0,0,0.0,38.59757868400152,1,0
0,0,0.0,-61.90564967593036,1,0
0,0,0.0,15.825775661717671,1,0
0,0,0.0,8.49821193079083,1,0
0,0,0.0,66.25538444753579,1,0
0,0,0.0,-12.43732084524936,1,0
0,0,0.0,62.13045281000791,1,0
0,0,0.0,-7.448276786868973,1,0
0,0,0.0,3.263557761988295,1,0
0,0,0.0,15.579111927886515,1,0
0,0,0.0,-43.11158426095926,1,0
0,0,0.0,48.74630594297537,1,0
0,0,0.0,27.87640821092191,1,0
0,0,0.0,48.829719669972064,1,0
0,0,0.0,10.944713639457632,1,0
0,0,0.0,9.896095181745295,1,0
0,0,0.0,-58.665393008339834,1,0
0,0,0.0,29.92901976006192,1,0
0,0,0.0,42.40990062677065,1,0
0,0,0.0,-49.15652438233633,1,0
0,0,0.0,6.253169601499394,1,0
0,0,0.0,-26.824032738602455,1,0
0,0,0.0,5.5274197814590025,1,0
0,0,0.0,-48.61212147140304,1,0
0,0,0.0,-23.979623731740503,1,0
0,0,0.0,10.272019268419399,1,0
0,0,0.0,39.969387282509615,1,0
0,0,0.0,-36.342274046784496,1,0
0,0,0.0,47.09701825935963,1,0
0,0,0.0,-19.91405907783428,1,0
0,0,0.0,5.728331644971149,1,0
0,0,0.0,-17.873449888573077,1,0
0,0,0.0,18.755060332813855,1,0
0,0,0.0,-57.81964565478188,1,0
0,0,0.0,45.00967266109524,1,0
0,0,0.0,32.01275903122519,1,0
0,0,0.0,-30.913751144234766,1,0
0,0,0.0,30.04691808391499,1,0
0,0,0.0,16.648104236961217,1,0
0,0,0.0,21.517082465738667,1,0
0,0,0.0,19.85547346607177,1,0
0,0,0.0,73.30150222577731,1,0
0,0,0.0,24.19768713074859,1,0
0,0,0.0,4.332265236730791,1,0
0,0,0.0,36.436981825703924,1,0
0,0,0.0,62.11278167421938,1,0
0,0,0.0,16.011392064299798,1,0
0,0,0.0,16.327649455811752,1,0
0,0,0.0,7.403930159471656,1,0
0,0,0.0,25.19768826344989,1,0
0,0,0.0,31.303578593152224,1,0
0,0,0.0,14.769848613361773,1,0
0,0,0.0,-46.319987300154935,1,0
0,0,0.0,-25.20355992533564,1,0
0,0,0.0,-13.457527505073585,1,0
0,0,0.0,-65.5206201414444,1,0
0,0,0.0,12.447430883994684,1,0
0,0,0.0,37.7562454905119,1,0
0,0,0.0,-45.692131422474176,1,0
0,0,0.0,26.2177184659256,1,0
0,0,0.0,17.155908439058067,1,0
0,0,0.0,21.75633190422809,1,0
0,0,0.0,68.9007571826055,1,0
0,0,0.0,-6.855817524667373,1,0
0,0,0.0,-20.311146523997877,1,0
0,0,0.0,4.663894441344382,1,0
0,0,0.0,42.310300417209646,1,0
0,0,0.0,20.708932515383367,1,0
0,0,0.0,-26.34448046578791,1,0
0,0,0.0,-18.173117260847903,1,0
0,0,0.0,30.352188028670525,1,0
0,0,0.0,43.49029307825663,1,0
0,0,0.0,25.574229009038845,1,0
0,0,0.0,-4.590855119916796,1,0
0,0,0.0,-45.0974786009308,1,0
0,0,0.0,-66.89238082625548,1,0
0,0,0.0,-47.69374293532428,1,0
0,0,0.0,-62.82043513724875,1,0
0,0,0.0,7.378321930759512,1,0
0,0,0.0,-9.738936045596574,1,0
0,0,0.0,-38.5211420675123,1,0
0,0,0.0,-30.383831193103788,1,0
0,0,0.0,-32.2496838700572,1,0
0,0,0.0,53.075487110827,1,0
0,0,0.0,-34.5776252830683,1,0
0,0,0.0,15.727672912110847,1,0
0,0,0.0,35.93284111375351,1,0
0,0,0.0,5.119026366171738,1,0
0,0,0.0,24.34289922359335,1,0
0,0,0.0,17.404166792993692,1,0
0,0,0.0,-36.90111310779048,1,0
0,0,0.0,41.34240497341989,1,0
0,0,0.0,21.768002935851655,1,0
0,0,0.0,-59.13208131096212,1,0
0,0,0.0,-13.330841248541219,1,0
0,0,0.0,24.643657337139302,1,0
0,0,0.0,-19.440231158190954,1,0
0,0,0.0,-75.30330578284543,1,0
0,0,0.0,-14.959825256378508,1,0
0,0,0.0,-12.495948953737297,1,0
0,0,0.0,34.81245172830927,1,0
0,0,0.0,20.320224373763722,1,0
0,0,0.0,17.971380182547136,1,0
0,0,0.0,-56.93680660306177,1,0
0,0,0.0,-60.858228958290965,1,0
0,0,0.0,7.868991364948442,1,0
0,0,0.0,9.871907873038026,1,0
0,0,0.0,18.813335108849287,1,0
0,0,0.0,-10.840844076386247,1,0
0,0,0.0,18.254693978915157,1,0
0,0,0.0,-56.974959259382786,1,0
0,0,0.0,-0.060313489138025034,1,0
0,0,0.0,29.752796915381623,1,0
0,0,0.0,24.874657743243006,1,0
0,0,0.0,-33.99117678498851,1,0
0,0,0.0,-38.55938666233715,1,0
0,0,0.0,26.97346537453518,1,0
0,0,0.0,-61.21458926227865,1,0
0,0,0.0,-65.66801399960991,1,0
0,0,0.0,7.09519510905443,1,0
0,0,0.0,-27.825865431628245,1,0
0,0,0.0,5.592249960761137,1,0
0,0,0.0,5.636306668123325,1,0
0,0,0.0,-13.445987510391433,1,0
0,0,0.0,16.692949615538282,1,0
0,0,0.0,11.807016530280862,1,0
0,0,0.0,66.83584707407681,1,0
0,0,0.0,23.12758823674676,1,0
0,0,0.0,28.734636075472736,1,0
0,0,0.0,-11.217038143616492,1,0
0,0,0.0,-18.792443308493148,1,0
